ID,Name,Description,Parent,Level
TD,TD Bank,America's Most Convinient Bank,0,0
D,Demand Generation,,TD,1
D.01,Product / Service Management & Pricing,,D,2
D.01.01,Product & Service Conceptualization,The capability of the bank to conceptualize a product / service or a product bundle that can be offered to the bank?s clients. Product conceptualization is driven by the needs of the client. The product is conceptualized based on market intelligence or can be driven through the internal innovation in the bank. The capability includes assessing the feasibility of developing and delivering the product to the clients and forecasting the product?s performance. The capability enables the bank to decide on whether or not the product needs to be developed and offered to the clients.,D.01,3
D.01.02,Product & Service Development,The capability of the bank to define the specifications of a product or service in terms of features and pricing and bundling of multiple products. It also includes ability of the bank to roll out the products its clients.,D.01,3
D.01.03,Product & Service Lifecycle Management,"This is the capability of the bank to manage lifecycle of the products and services from development to retirement. It also includes change and update product attributes based on changing market conditions and client demand. Product maintenance could include changing attributes such as: executing rate changes, product feature changes, and updating product benchmarking data. Product Catalog / Master Management",D.01,3
D.01.04,Rates Assessment & Management,Manage activities associated with assessing/calculating rates and with processing rates.,D.01,3
D.01.05,Product & Service Performance Assessment,The capability of the bank to assess the performance of the product or service against internal targets and external benchmarks.  Drawing on the Bank's own analytic capabilities (cf. Manage Analytics & Reporting) the reason of any deviation is determined and corrective action is taken. Assessment of the product performance also helps in deciding whether to continue or retire the product.,D.01,3
D.01.06,Product & Service Pricing,The capability of the bank to define the pricing and pricing guidelines for the sales team. Pricing takes into consideration the internal cost for delivery of the product or service and the market pricing as determined through the market intelligence.,D.01,3
D.01.07,Deal Pricing Management,This capability includes the ability to price structured deals for commercial / syndicated loans.,D.01,3
D.01.08,Group Pricing Management,The capability of the bank to provide a preferential price for selected partners / vendors / employees and other institutions.,D.01,3
D.01.09,Channel Pricing Management,This capability of the bank to provide differentiated pricing based on method of access.  This capability assists the bank by influencing client behavior by incentivizing the use of certain channels based on the bank's overall strategy.,D.01,3
D.01.10,Pricing Strategy Definition,The capability to define the pricing guidelines for products and services based on market and competitor analysis. This capability enables the Bank to competitively position its products & services in the market.,D.01,3
D.02,Marketing,,D,2
D.02.01,Understand Markets & Clients,"This is the bank?s ability to understand the market in which it operates. Market includes various entities such as general population, businesses, competitors, distributors, institutions, government etc. in a given area. The bank needs to understand the individual needs of these entities in the market, their interactions and interrelations. The bank also needs to gain a high level understanding of the environment and economy of the market.",D.02,3
D.02.02,Market Segmentation,"Manage market segmentation clusters based on various perspectives such as market type, product type or client demographics",D.02,3
D.02.03,Marketing Strategy Development,"The capability of the bank to define an approach to engage with the market entities such as clients and general public. This capability includes building the awareness of the bank?s products or services, promoting the bank?s brand and communicating the values and relevance of the bank to the market place.",D.02,3
D.02.04,Campaign Management,Manage and execute client marketing campaigns,D.02,3
D.02.05,Lead Management,Manage the process to generate and capture leads for new client acquisitions and cross-sell opportunities,D.02,3
D.02.06,Loyalty,"Capability of the bank to develop client loyalty and to measure commitment based on obligation or, in consumer preferences, degree of satisfaction.",D.02,3
D.02.06.01,Client Loyalty Points Management,Manage client centric loyalty /rewards programs,D.02.06,4
D.02.06.02,Product Points (Loyalty / Rewards) Management,Manage product centric loyalty /rewards programs,D.02.06,4
D.02.07,Product / Service Bundling,Provide centralized and template based management of  information about products and services,D.02,3
D.02.08,Marketing Activities Planning & Execution,"The capability of the bank to execute marketing strategy and plan in the marketplace. Marketing Execution involves placing all the marketing collaterals in the marketplace and evaluating the effectiveness of marketing in meeting the forecasted sales of the company?s products and services. It also includes defining of actions necessary to execute a marketing strategy. Marketing Planning includes establishing marketing budgets, sales forecasts, performance targets, metrics etc.",D.02,3
D.02.09,Marketing Collateral Management,Managing a collection of marketing communications pieces used as part of an organization's overall marketing strategy.,D.02,3
D.02.10,Vehicle Remarketing,This is capability of the bank to manage disposal of vehicles that have reached the end of their fixed lease term.,D.02,3
D.03,Brand Management,,D,2
D.03.01,Brand Valuation,This capability involves understanding and assessing the value of brand that impacts the perceptions of stakeholders including clients and shareholders about the brand. The brand valuation sub-capabilities includes research based brand valuation like measuring consumer  behavior and attitudes and market share to assess the performance of the brand. This could use qualitative and quantitative approaches like measuring market value and ability of the brand to produce after-tax income. ,D.03,3
D.03.02,Target Brand Positioning,"This capability involves defining the brand in terms of target client, value proposition, competitor differentiation, client experience at touch point and meaning of brand to different audiences including employees. It includes how the brand and the operating practice fit together to create a single image of the company and a consistent client experience across all contact and touch points. ",D.03,3
D.03.03,Brand Positioning Enhancement,"This capability involves the analysis of brand strength, and actions taken to reinforce the brand image with clients. ",D.03,3
D.03.04,Brand Customer Experience,"This capability includes the management of actions involved in ensuring an integrated approach to interactions with clients, third parties, and other stakeholders.  This is done from an overall enterprise level, down to each individual client experience.",D.03,3
D.03.05,White Labeling / 3rd Party branding,Provide rebranded products and services to client via 3rd party/partner channels,D.03,3
D.04,Sales Planning & Management,,D,2
D.04.01,Sales Territories Management,Manage the process to assign sales territories,D.04,3
D.04.02,Sales Opportunity Management,Manage the sales opportunity pipeline process from lead quantification to actual sale,D.04,3
D.04.03,Sales Strategy & Plan Development,"Manage the process to generate sales plan and strategy, including how distribution channels will be used for various products.",D.04,3
D.04.04,Sales Performance & Compensation,"The capability of the bank to perform Sales Activity Management, Sales Compensation Management, Sales Performance Tracking and Measuring.",D.04,3
C,Client Acquisition & Management,,TD,1
C.01,Client Offering & Pricing,,C,2
C.01.01,Aggregation / Bundling Offering,Provide capability to aggregate product and services into bundles based on client needs and profile,C.01,3
C.01.02,Offering & Content Personalization,Provide ability to contextualize and personalize products and services based on customer needs and delivery channel,C.01,3
C.01.03,Client Pricing,"The capability of the bank to support the sales team in determining the pricing of product or service to the client. Pricing is specific to a client based on his / her relationship and the associated risk. The pricing for a specific client deal is based on the overall product pricing guidelines and risk based pricing. It also includes the capability of negotiating a mutually agreeable price with the client. Example: In case of a credit product of the bank, output of underwriting capability will serve as an input for pricing of a particular client credit request.",C.01,3
C.01.04,Sales Contract Execution,"The capability of the bank to support the activities that are required for the client to enter into an agreement with the bank for a specific product or service. The contract specifies the details of product structure, terms and conditions and pricing. The contract determines the entities and responsibilities that are involved in servicing the client. Documentation and required verifications are completed before the commencement of the service to the client.",C.01,3
C.01.05,Application Management,"This capability to collect, document, store and analyse the information gathered as part of a client's application for a product or service.",C.01,3
C.01.06,Quote Generation,"The capability of the bank to generate a formal statement of promise (submitted usually in response to a request for quotation) by potential supplier to supply the product goods or services requested by a client, at specified prices, and within a specified period. A quotation may also contain terms of sale and payment, and warranties. Acceptance of quotation may constitute an agreement binding on both parties.",C.01,3
C.02,Client Profile Management,,C,2
C.02.01,Customer Profiling ,The capability of the bank to develop various categorizations for a customer that can be used for various purposes.  Placing a customer in a given categorization is based on information managed by other capabilities and either stored internally or obtain from outside TD.,C.02,3
C.02.01.01,Client Financial Health Assessment,"The capability of the bank to assess the current financial health of the client and to meet the financial goals, to provide a clear understanding of the current financial position, current investment patterns and financial liabilities required as a baseline for health assessment.",C.02.01,4
C.02.01.02,Client Risk Appetite,"The capability of the bank to understand the tolerance to risk and loss of capital and create an appropriate risk profile for the client. The bank also recommends the appropriate level of risk exposure, considering the financial position and financial objectives of the client.",C.02.01,4
C.02.01.03,Client Information Analysis,Drawing on the Bank's own analytic capabilities to understand the nature of the individual customer and potential customer for the purpose of identifying actions to be taken.,C.02.01,4
C.02.01.04,Client Credit Review,The capability of the bank to periodically monitor the credit facilities granted to a client.,C.02.01,4
C.02.02,Client Needs Assessment,"This capability enables the bank to have an understanding of the client?s financial needs. The needs are assessed based on the client demographics and profile rather than a formal detailed needs analysis (which is part of Financial Planning for a client). The primary objective of the needs assessment is to position the products of the bank. In case of wealth management of the client, this capability enables the bank to analyze and understand the unique financial needs of the client and their priorities. The need analysis is done to understand and determine the income and cash-flow needs, return expectations, tax implications, time horizon and purpose of investing.",C.02,3
C.02.03,Client Decisioning,The ability of the organization to make decisions based on internal and external client information,C.02,3
C.02.03.01,Adjudication,"The capability of a bank to analyze the  application/request received from the client, assess the risks, make a decision ",C.02.03,4
C.02.03.02,Underwriting,Capability of assessing the eligibility of a client to receive products with respect to the appraised 'right' price the client can afford and the exposure to loss the company can incur.,C.02.03,4
C.03,Client Case Management,,C,2
C.03.01,Notes Management,Provide ability to capture and reuse notes as part of client case resolution,C.03,3
C.03.02,Escalation Management,Manage the process/rules to escalate client cases ,C.03,3
C.03.03,Inquiry Management,Manage client inquiries as a part of services support and client relationship management.,C.03,3
C.03.04,Dispute Management,Manage the process of notifying the client on trouble ticket/case updates/statuses,C.03,3
C.04,Client Information & Relationship Management,,C,2
C.04.01,Client Consolidated View,"Develop and integrated view across products, channels and lines of business",C.04,3
C.04.02,Client Information Management,"The capability of the bank to perform Client Reference Management, Client Information Administration and Client Account Aggregation and billing profile.",C.04,3
C.04.02.01,Client / Account Relationship Management,The ability to establish and maintain the relationships between a customer and the accounts they hold,C.04.02,4
C.04.02.02,Client Authentication,The ability to manage credentials for a customer and verify them against those offered at any given interation point in order to verify identity,C.04.02,4
C.04.02.03,Client Authorization,The ability to manage and verify the set of access and action priviledges for a customer.,C.04.02,4
C.04.03,Client Relationship Management,"The capability of the bank to manage client engagement and relationships. This capability supports the activities of the bank to build a banking relationship with the clients as against having a transactional view of clients. It involves ongoing interaction and communication with the clients, understanding needs and rewarding loyalty.",C.04,3
C.04.04,Statement & Correspondence,This is  a capability to produce and deliver statements and correspondence in printed and/or electronic format,C.04,3
F,Fulfillment,,TD,1
F.01,Agreement & Account Management,,F,2
F.01.01,Agreement Management,"Capability of making a formal agreement between the bank, client stipulating the terms under which they are authorized to act.",F.01,3
F.01.02,Account Management,"The capability of the bank to perform operations on an account, policy, etc. including set of activities required to open, change or close the account. The account can be either a client account or internal bank account.",F.01,3
F.01.02.01,Account Opening,Capability to open and activate client account for servicing and transactions.,F.01.02,4
F.01.02.02,Account Servicing,Provide accurate administrative and timely support services to operate and support client account.,F.01.02,4
F.01.02.03,Account Monitoring,Monitor client account and associated transactions,F.01.02,4
F.01.02.04,Account Closing,Capability enabling deactivation of client account.,F.01.02,4
F.01.03,Account Reconciliation,Capability of the bank to reconcile the transactions in an account and corresponding entries in internal accounts. Bank also processes queries raised  on reconciliation differences in the account.,F.01,3
F.01.04,Standing Instructions,This is the capability of the bank to store and execute standing instructions for activity against an agreement.  The standing instructions could originate from any line of business.,F.01,3
F.01.05,Account Access Media Management,"The capability of the bank to manage the lifecycle of an access media, for example creation, issuance, encryption, and destruction.  Some examples of access media include: cards (Credit, Debit, Gift, Reward), chip (NFC) and cheque books.",F.01,3
F.01.06,Safekeeping Management,"The capability of the bank to hold assets, both traded and non-traded, in trust on an agency basis as well as for itself.",F.01,3
F.02,Global Trade,,F,2
F.02.01,Payment Undertaking,Payment processing is the processing of payment instructions and actual moving of funds between accounts (internal or external) for the purposes of facilitating the sale and purchase of goods and services across international borders.,F.02,3
F.02.02,Bill Negotiation,"Capability of the bank to provide document handling / negotiation services to its client for their import / export transactions. In the case of exports, client submits the shipping documents and invoice to the bank. In the case of imports, client receives the shipping documents and invoice from the bank. The bank ensures that the trade documents are in conformity with terms and conditions of the trade order and with letter of credit underlying the trade.",F.02,3
F.02.03,Commitments Under Documentary Credit,Capability of the bank to monitor its payment and collection commitments under Letters of Credit (LCs) issued on behalf of its clients or received and advised to its clients. The bank initiates the payment for retirement of bill or follows up for collections.,F.02,3
F.02.04,Financial Guarantees,"This is the capability of the bank to provide a financial guarantee, on behalf of its clients, for fulfillment of obligations by the client under the terms of a trade contract. If the client fails to fulfill the performance obligation under the contract, the counterparty raises a claim on the bank and the bank compensates the counterparty to the extent of financial value of guarantee.",F.02,3
F.02.05,Correspondent Banking,"This is the capability of the bank to provide Canadian $ account services to the foreign banks that do not have presence in Canada. The services include managing Canadian $ payments, receipts and Canadian $ clearing services. Similarly, in the overseas countries where bank does not have a presence, it enters into correspondent banking relationship with the overseas banks for foreign currency account and for clearing services.",F.02,3
